reaction_id	reactant_sbustructure	product_substructure
rxn_21835	[]	[('35', 'oxyg'), [('single', '29', '35')]]
rxn_21167	[('30', 'carb'), [('34', 'oxyg')], [('double', '29', '34')], [('single', '14', '15')]]	[('double', '14', '15')]
rxn_3_OXOSTEROID_1_DEHYDROGENASE_RXN	[('single', '1', '2')]	[('double', '1', '2')]
rxn_21166	[('single', '29', '34')]	[('double', '29', '34')]
rxn_12714	[('single', '1', '2')]	[('double', '1', '2')]
rxn_776	[('double', '3', '31')]	[('singleS', '3', '31')]
rxn_11101	[]	[('32', 'oxyg'), [('singleR', '23', '32')]]
new_23_dehydrogenation	[('singleR', '23', '32')]	[('double', '23', '32')]
rxn_11533	[('double', '5', '6'), [('single', '4', '5')], [('singleR', '3', '31')]]	[('double', '3', '31'), [('double', '4', '5')], [('single', '5', '6')]]
rxn_21834	[('single', '29', '34')]	[('double', '29', '34')]
rxn_11959	[('28', 'carb'), [('34', 'oxyg')], [('35', 'oxyg')], [('double', '29', '34')], [('single', '29', '35')], [('singleS', '4', '28')]]	[]
rxn66_27	[('double', '7', '8')]	[('single', '7', '8')]
rxn_21829	[]	[('32', 'oxyg'), [('33', 'oxyg')], [('double', '29', '33')], [('single', '29', '32')]]
rxn_21833	[]	[('34', 'oxyg'), [('single', '29', '34')]]
rxn_711	[('double', '4', '5')]	[('single', '4', '5')]
rxn_774	[]	[('32', 'oxyg'), [('singleR', '23', '32')]]
rxn_710	[('singleR', '3', '31')]	[('double', '3', '31')]
rxn_11531	[]	[('32', 'oxyg'), [('singleR', '23', '32')]]
rxn_709	[('double', '5', '6'), [('single', '4', '5')]]	[('double', '4', '5'), [('single', '5', '6')]]
rxn_4231	[]	[('34', 'oxyg'), [('singleR', '22', '34')]]
rxn_4225	[]	[('34', 'oxyg'), [('singleR', '22', '34')]]
rxn_4226	[('double', '5', '6'), [('single', '4', '5')], [('singleR', '3', '31')]]	[('double', '3', '31'), [('double', '4', '5')], [('single', '5', '6')]]
rxn_21830	[('29', 'carb'), [('32', 'oxyg')], [('33', 'oxyg')], [('double', '29', '33')], [('single', '29', '32')], [('singleR', '3', '31')], [('singleR', '4', '29')]]	[('double', '3', '31')]
rxn_21837	[('double', '3', '31')]	[('singleR', '3', '31')]
rxn_11887	[('single', '5', '6')]	[('double', '5', '6')]
rxn_775	[('singleR', '3', '31')]	[('double', '3', '31')]
rxn_4228	[('double', '3', '31')]	[('singleR', '3', '31')]
rxn_11530	[]	[('32', 'oxyg'), [('singleR', '23', '32')]]
rxn_773	[]	[('34', 'oxyg'), [('singleR', '22', '34')]]
rxn_21831	[('single', '8', '9'), [('singleR', '9', '19')], [('singleS', '14', '30')]]	[('double', '8', '9')]
rxn_11529	[('double', '3', '31'), [('double', '4', '5')], [('single', '5', '6')]]	[('32', 'oxyg'), [('double', '5', '6')], [('single', '4', '5')], [('singleR', '23', '32')], [('singleR', '3', '31')]]
rxn66_28	[('double', '24', '25')]	[('single', '24', '25')]
rxn_4230	[]	[('34', 'oxyg'), [('singleR', '22', '34')]]
rxn_11534	[('double', '4', '5')]	[('single', '4', '5')]
rxn_21165	[]	[('34', 'oxyg'), [('single', '29', '34')]]
rxn_11884	[('double', '8', '9'), [('single', '7', '8')]]	[('double', '7', '8'), [('single', '8', '9')]]
rxn_11532	[('double', '3', '31')]	[('singleS', '3', '31')]
rxn_4229	[('double', '4', '5')]	[('single', '4', '5')]
rxn_712	[('double', '3', '31')]	[('singleR', '3', '31')]
rxn_11878	[('double', '14', '15')]	[('single', '14', '15')]
