reaction_name	molecule_A	molecule_B	bond_type	atom_1	atom_2
epoxidation_E	"""9,10-epoxy-11-hydroxy-12-octdecenoic"""	"""9-HPOD"""	single	10	11
epoxidation_E	"""9,10-epoxy-11-hydroxy-12-octdecenoic"""	"""9-HPOD"""	single	10	21
epoxidation_E	"""9,10-epoxy-11-hydroxy-12-octdecenoic"""	"""9-HPOD"""	single	11	22
epoxidation_E	"""9-HPOD"""	"""9,10-epoxy-11-hydroxy-12-octdecenoic"""	double	10	11
epoxidation_E	"""9-HPOD"""	"""9,10-epoxy-11-hydroxy-12-octdecenoic"""	single	21	22
epoxidation_L	"""12,13-EpOME"""	"""13-HpODE"""	single	11	12
epoxidation_L	"""12,13-EpOME"""	"""13-HpODE"""	single	12	21
epoxidation_L	"""13-HpODE"""	"""12,13-EpOME"""	double	11	12
epoxidation_L	"""13-HpODE"""	"""12,13-EpOME"""	single	21	22
lipoxygenase_rxn	"""13-HpODE"""	"""linoleic_acid"""	double	11	12
lipoxygenase_rxn	"""13-HpODE"""	"""linoleic_acid"""	single	12	13
lipoxygenase_rxn	"""13-HpODE"""	"""linoleic_acid"""	single	13	21
lipoxygenase_rxn	"""13-HpODE"""	"""linoleic_acid"""	single	21	22
lipoxygenase_rxn	"""linoleic_acid"""	"""13-HpODE"""	double	12	13
lipoxygenase_rxn	"""linoleic_acid"""	"""13-HpODE"""	single	11	12
rxn_8495	"""9-HPOD"""	"""linoleic_acid"""	double	10	11
rxn_8495	"""9-HPOD"""	"""linoleic_acid"""	single	21	22
rxn_8495	"""9-HPOD"""	"""linoleic_acid"""	single	9	10
rxn_8495	"""9-HPOD"""	"""linoleic_acid"""	single	9	21
rxn_8495	"""linoleic_acid"""	"""9-HPOD"""	double	9	10
rxn_8495	"""linoleic_acid"""	"""9-HPOD"""	single	10	11
